type,subtype,epc_score,immo_status,postalcode,district,province,region
APARTMENT,FLAT_STUDIO,E,FOR_SALE,9000,44000,40000,2000
APARTMENT,APARTMENT,C,FOR_SALE,1190,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,9800,44000,40000,2000
APARTMENT,APARTMENT,C,FOR_SALE,9800,44000,40000,2000
APARTMENT,LOFT,F,FOR_SALE,9000,44000,40000,2000
APARTMENT,APARTMENT,B,FOR_SALE,2230,13000,11002,2000
APARTMENT,APARTMENT,F,FOR_SALE,4040,62000,62000,3000
APARTMENT,APARTMENT,C,FOR_SALE,1190,21000,400001,4000
APARTMENT,APARTMENT,F,FOR_SALE,1090,21000,400001,4000
APARTMENT,APARTMENT,E,FOR_SALE,1090,21000,400001,4000
APARTMENT,LOFT,F,FOR_SALE,9300,41000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,4500,61031,62000,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,9400,41000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,9402,41000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,5300,92000,90000,3000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,1640,23000,20001,2000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,1200,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,1080,21000,400001,4000
APARTMENT,APARTMENT,F,FOR_SALE,5000,92000,90000,3000
APARTMENT,FLAT_STUDIO,D,FOR_SALE,1200,21000,400001,4000
APARTMENT,FLAT_STUDIO,C,FOR_SALE,1160,21000,400001,4000
APARTMENT,APARTMENT,A,FOR_SALE,6990,83000,80000,3000
APARTMENT,APARTMENT,C,FOR_SALE,1090,21000,400001,4000
APARTMENT,APARTMENT,F,FOR_SALE,8300,31000,30000,2000
APARTMENT,DUPLEX,B,FOR_SALE,2000,11002,11002,2000
APARTMENT,APARTMENT,B,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,D,FOR_SALE,1200,21000,400001,4000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,7060,55040,50000,3000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,4500,61031,62000,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,3020,24000,20001,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,3000,24000,20001,2000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,9000,44000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,8300,31000,30000,2000
APARTMENT,APARTMENT,E,FOR_SALE,1930,23000,20001,2000
APARTMENT,FLAT_STUDIO,C,FOR_SALE,8430,35013,30000,2000
APARTMENT,DUPLEX,F,FOR_SALE,4500,61031,62000,3000
APARTMENT,APARTMENT,B,FOR_SALE,1140,21000,400001,4000
APARTMENT,APARTMENT,A,FOR_SALE,6760,85000,80000,3000
APARTMENT,APARTMENT,C,FOR_SALE,1770,23000,20001,2000
APARTMENT,APARTMENT,F,FOR_SALE,1770,23000,20001,2000
APARTMENT,APARTMENT,C,FOR_SALE,9040,44000,40000,2000
APARTMENT,APARTMENT,B,FOR_SALE,9120,46000,40000,2000
APARTMENT,APARTMENT,F,FOR_SALE,1180,21000,400001,4000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,3980,71000,70000,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,9000,44000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,8300,31000,30000,2000
APARTMENT,APARTMENT,C,FOR_SALE,6001,52000,50000,3000
APARTMENT,FLAT_STUDIO,F,FOR_SALE,1030,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,6791,81001,80000,3000
APARTMENT,APARTMENT,F,FOR_SALE,5000,92000,90000,3000
APARTMENT,APARTMENT,A,FOR_SALE,6600,82003,80000,3000
APARTMENT,PENTHOUSE,C,FOR_SALE,2500,12000,11002,2000
APARTMENT,FLAT_STUDIO,C,FOR_SALE,1000,21000,400001,4000
APARTMENT,APARTMENT,C,FOR_SALE,4480,61031,62000,3000
APARTMENT,APARTMENT,C,FOR_SALE,4540,61031,62000,3000
APARTMENT,APARTMENT,C,FOR_SALE,6800,84000,80000,3000
APARTMENT,APARTMENT,B,FOR_SALE,1081,21000,400001,4000
APARTMENT_GROUP,APARTMENT_GROUP,A,FOR_SALE,6740,85000,80000,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,8210,31000,30000,2000
APARTMENT,APARTMENT,C,FOR_SALE,8620,38000,30000,2000
APARTMENT,APARTMENT,D,FOR_SALE,1083,21000,400001,4000
APARTMENT,PENTHOUSE,E,FOR_SALE,2980,11002,11002,2000
APARTMENT,APARTMENT,B,FOR_SALE,1060,21000,400001,4000
APARTMENT,FLAT_STUDIO,C,FOR_SALE,8300,31000,30000,2000
APARTMENT,APARTMENT,E,FOR_SALE,1070,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,5000,92000,90000,3000
APARTMENT,APARTMENT,A,FOR_SALE,6791,81001,80000,3000
APARTMENT,APARTMENT,F,FOR_SALE,2250,13000,11002,2000
APARTMENT,APARTMENT,D,FOR_SALE,1770,23000,20001,2000
APARTMENT,APARTMENT,C,FOR_SALE,8300,31000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,8570,34000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,7700,54007,50000,3000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,6940,83000,80000,3000
APARTMENT_GROUP,APARTMENT_GROUP,A,FOR_SALE,6840,84000,80000,3000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,2160,11002,11002,2000
APARTMENT,APARTMENT,D,FOR_SALE,1140,21000,400001,4000
APARTMENT,APARTMENT,E,FOR_SALE,1310,25072,20002,3000
APARTMENT,APARTMENT,B,FOR_SALE,1300,25072,20002,3000
APARTMENT,APARTMENT,B,FOR_SALE,2500,12000,11002,2000
APARTMENT,PENTHOUSE,B,FOR_SALE,6640,82003,80000,3000
APARTMENT,APARTMENT,F,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,9051,44000,40000,2000
APARTMENT,APARTMENT,B,FOR_SALE,1030,21000,400001,4000
APARTMENT,APARTMENT,C,FOR_SALE,1030,21000,400001,4000
APARTMENT,DUPLEX,F,FOR_SALE,9400,41000,40000,2000
APARTMENT,GROUND_FLOOR,D,FOR_SALE,1030,21000,400001,4000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,8540,34000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,9700,45000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,3300,24000,20001,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,8790,34000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,A,FOR_SALE,6900,83000,80000,3000
APARTMENT,DUPLEX,D,FOR_SALE,8370,31000,30000,2000
APARTMENT,APARTMENT,D,FOR_SALE,9600,45000,40000,2000
APARTMENT,APARTMENT,C,FOR_SALE,3600,71000,70000,2000
APARTMENT,APARTMENT,D,FOR_SALE,3600,71000,70000,2000
APARTMENT,APARTMENT,C,FOR_SALE,2018,11002,11002,2000
APARTMENT,APARTMENT,C,FOR_SALE,8430,35013,30000,2000
APARTMENT,APARTMENT,F,FOR_SALE,8300,31000,30000,2000
APARTMENT,DUPLEX,E,FOR_SALE,1060,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,2000,11002,11002,2000
APARTMENT,APARTMENT,C,FOR_SALE,5000,92000,90000,3000
APARTMENT,APARTMENT,C,FOR_SALE,1770,23000,20001,2000
APARTMENT,APARTMENT,B,FOR_SALE,1200,21000,400001,4000
APARTMENT,APARTMENT,E,FOR_SALE,2590,12000,11002,2000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,1000,21000,400001,4000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,1420,25072,20002,3000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,1490,25072,20002,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,4031,62000,62000,3000
APARTMENT_GROUP,APARTMENT_GROUP,A,FOR_SALE,7060,55040,50000,3000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,7700,54007,50000,3000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,9600,45000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,4800,63000,62000,3000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,9255,42000,40000,2000
APARTMENT,APARTMENT,B,FOR_SALE,1300,25072,20002,3000
APARTMENT,APARTMENT,B,FOR_SALE,1420,25072,20002,3000
APARTMENT,GROUND_FLOOR,F,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,1770,23000,20001,2000
APARTMENT,APARTMENT,B,FOR_SALE,1348,25072,20002,3000
APARTMENT,APARTMENT,C,FOR_SALE,1030,21000,400001,4000
APARTMENT,APARTMENT,D,FOR_SALE,1030,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,6220,52000,50000,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,1140,21000,400001,4000
APARTMENT_GROUP,APARTMENT_GROUP,A,FOR_SALE,5170,92000,90000,3000
APARTMENT_GROUP,APARTMENT_GROUP,A+,FOR_SALE,6780,81001,80000,3000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,2300,13000,11002,2000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,1880,23000,20001,2000
APARTMENT,APARTMENT,F,FOR_SALE,3600,71000,70000,2000
APARTMENT,APARTMENT,C,FOR_SALE,3600,71000,70000,2000
APARTMENT,APARTMENT,E,FOR_SALE,8300,31000,30000,2000
APARTMENT,PENTHOUSE,E,FOR_SALE,3600,71000,70000,2000
APARTMENT,APARTMENT,E,FOR_SALE,1050,21000,400001,4000
APARTMENT,APARTMENT,E,FOR_SALE,9700,45000,40000,2000
APARTMENT,LOFT,F,FOR_SALE,8580,34000,30000,2000
APARTMENT,APARTMENT,D,FOR_SALE,3000,24000,20001,2000
APARTMENT,APARTMENT,E,FOR_SALE,1000,21000,400001,4000
APARTMENT,DUPLEX,C,FOR_SALE,1050,21000,400001,4000
APARTMENT,APARTMENT,A,FOR_SALE,4684,62000,62000,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,9700,45000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,8570,34000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,2300,13000,11002,2000
APARTMENT_GROUP,APARTMENT_GROUP,A+,FOR_SALE,1480,25072,20002,3000
APARTMENT_GROUP,APARTMENT_GROUP,A,FOR_SALE,6600,82003,80000,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,2500,12000,11002,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,8370,31000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,5350,92000,90000,3000
APARTMENT,DUPLEX,F,FOR_SALE,2940,11002,11002,2000
APARTMENT,APARTMENT,D,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,D,FOR_SALE,8620,38000,30000,2000
APARTMENT,APARTMENT,D,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,E,FOR_SALE,1200,21000,400001,4000
APARTMENT,APARTMENT,A++,FOR_SALE,1330,25072,20002,3000
APARTMENT,APARTMENT,B,FOR_SALE,1180,21000,400001,4000
APARTMENT,PENTHOUSE,B,FOR_SALE,1200,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,2880,12000,11002,2000
APARTMENT,APARTMENT,D,FOR_SALE,4000,62000,62000,3000
APARTMENT,APARTMENT,D,FOR_SALE,1370,25072,20002,3000
APARTMENT,APARTMENT,B,FOR_SALE,6230,52000,50000,3000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,3000,24000,20001,2000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,2270,13000,11002,2000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,8310,31000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,2970,11002,11002,2000
APARTMENT,APARTMENT,B,FOR_SALE,6890,84000,80000,3000
APARTMENT,APARTMENT,B,FOR_SALE,1082,21000,400001,4000
APARTMENT,APARTMENT,C,FOR_SALE,2650,11002,11002,2000
APARTMENT,APARTMENT,D,FOR_SALE,9000,44000,40000,2000
APARTMENT,DUPLEX,E,FOR_SALE,1000,21000,400001,4000
APARTMENT,APARTMENT,D,FOR_SALE,8790,34000,30000,2000
APARTMENT,APARTMENT,F,FOR_SALE,2018,11002,11002,2000
APARTMENT,APARTMENT,D,FOR_SALE,8300,31000,30000,2000
APARTMENT,LOFT,F,FOR_SALE,2000,11002,11002,2000
APARTMENT,APARTMENT,B,FOR_SALE,1150,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,7500,57081,50000,3000
APARTMENT,APARTMENT,C,FOR_SALE,2800,12000,11002,2000
APARTMENT,APARTMENT,E,FOR_SALE,1020,21000,400001,4000
APARTMENT,APARTMENT,C,FOR_SALE,1030,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,9000,44000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,5300,92000,90000,3000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,5100,92000,90000,3000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,8570,34000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,A,FOR_SALE,6720,85000,80000,3000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,2980,11002,11002,2000
APARTMENT_GROUP,APARTMENT_GROUP,D,FOR_SALE,9250,42000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,4121,62000,62000,3000
APARTMENT,APARTMENT,E,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,8400,35013,30000,2000
APARTMENT,APARTMENT,B,FOR_SALE,1070,21000,400001,4000
APARTMENT,APARTMENT,C,FOR_SALE,1200,21000,400001,4000
APARTMENT,PENTHOUSE,B,FOR_SALE,1180,21000,400001,4000
APARTMENT,DUPLEX,C,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,C,FOR_SALE,1840,23000,20001,2000
APARTMENT,APARTMENT,B,FOR_SALE,2140,11002,11002,2000
APARTMENT,APARTMENT,B,FOR_SALE,2140,11002,11002,2000
APARTMENT,APARTMENT,B,FOR_SALE,4000,62000,62000,3000
APARTMENT,APARTMENT,F,FOR_SALE,8540,34000,30000,2000
APARTMENT_GROUP,APARTMENT_GROUP,F,FOR_SALE,3210,24000,20001,2000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,6210,52000,50000,3000
APARTMENT_GROUP,APARTMENT_GROUP,E,FOR_SALE,9300,41000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,1348,25072,20002,3000
APARTMENT,APARTMENT,D,FOR_SALE,6750,85000,80000,3000
APARTMENT,APARTMENT,D,FOR_SALE,2170,11002,11002,2000
APARTMENT,APARTMENT,A,FOR_SALE,1490,25072,20002,3000
APARTMENT,APARTMENT,E,FOR_SALE,9000,44000,40000,2000
APARTMENT,DUPLEX,E,FOR_SALE,2000,11002,11002,2000
APARTMENT,APARTMENT,C,FOR_SALE,1050,21000,400001,4000
APARTMENT,APARTMENT,E,FOR_SALE,1050,21000,400001,4000
APARTMENT,DUPLEX,C,FOR_SALE,2110,11002,11002,2000
APARTMENT,APARTMENT,B,FOR_SALE,8300,31000,30000,2000
APARTMENT,DUPLEX,C,FOR_SALE,1050,21000,400001,4000
APARTMENT,APARTMENT,D,FOR_SALE,9700,45000,40000,2000
APARTMENT,APARTMENT,E,FOR_SALE,1348,25072,20002,3000
APARTMENT,APARTMENT,E,FOR_SALE,9700,45000,40000,2000
APARTMENT,APARTMENT,F,FOR_SALE,1180,21000,400001,4000
APARTMENT,GROUND_FLOOR,B,FOR_SALE,5000,92000,90000,3000
APARTMENT,APARTMENT,C,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,B,FOR_SALE,9052,44000,40000,2000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,4920,62000,62000,3000
APARTMENT_GROUP,APARTMENT_GROUP,C,FOR_SALE,4920,62000,62000,3000
APARTMENT_GROUP,APARTMENT_GROUP,B,FOR_SALE,8000,31000,30000,2000
APARTMENT,APARTMENT,F,FOR_SALE,1180,21000,400001,4000
APARTMENT,APARTMENT,E,FOR_SALE,1190,21000,400001,4000
APARTMENT,APARTMENT,D,FOR_SALE,1020,21000,400001,4000
APARTMENT,APARTMENT,G,FOR_SALE,7110,55040,50000,3000
APARTMENT,APARTMENT,B,FOR_SALE,2100,11002,11002,2000
APARTMENT,APARTMENT,C,FOR_SALE,9051,44000,40000,2000
