address,bedroom_count,district,epc_score,habitable_surface,immo_status,immocode,land_surface,municipality,plot_area,postalcode,price,price_per_sqmeter,province,region,room_count,subtype,type
Kanakkendries  16,4,41000,C,150,FOR_SALE,10588573,1323,Geraardsbergen,1473,9500,245000,166,40000,2000,5,HOUSE,HOUSE
Veldstraat  4,2,31000,F,89,FOR_SALE,10604541,438,Sint-Michiels,527,8200,279900,531,30000,2000,3,HOUSE,HOUSE
"Lode Zielenslaan  23,",3,34000,D,175,FOR_SALE,10569114,237,Menen,412,8930,298000,723,30000,2000,4,HOUSE,HOUSE
Rue Trou du Renard  66,3,62000,D,131,FOR_SALE,10643270,750,Beyne-Heusay,881,4610,299000,339,62000,3000,4,VILLA,HOUSE
Rue Trou du Renard  66,3,62000,D,131,FOR_SALE,10643269,750,Beyne-Heusay,881,4610,299000,339,62000,3000,4,HOUSE,HOUSE
Rue du village  23,7,92000,E,428,FOR_SALE,10537061,290,Ohey,718,5350,299000,416,90000,3000,8,APARTMENT_BLOCK,HOUSE
Rue de la Cour  19,4,91000,D,195,FOR_SALE,10669576,686,Maredret,881,5537,299000,339,90000,3000,5,VILLA,HOUSE
Rue De L'industrie  77,3,52000,D,188,FOR_SALE,10571752,491,Charleroi,679,6032,299000,440,50000,3000,4,HOUSE,HOUSE
Rue Ernest Petit  36,5,56000,E,170,FOR_SALE,10574950,1932,Morlanwelz Carnières,2102,7141,299000,142,50000,3000,6,VILLA,HOUSE
"Molenkotstraat  3,",2,35013,C,95,FOR_SALE,10576754,646,Moere,741,8470,299000,404,30000,2000,3,HOUSE,HOUSE
None  None,3,52000,D,180,FOR_SALE,10367352,540,Courcelles,720,6180,300000,417,50000,3000,4,MANSION,HOUSE
None  None,3,52000,D,180,FOR_SALE,10557693,540,Pont-à-Celles,720,6230,300000,417,50000,3000,4,MANSION,HOUSE
None  None,3,85000,C,150,FOR_SALE,10624232,350,Habay,500,6723,309000,618,80000,3000,7,HOUSE,HOUSE
Beauduinstraat  55,2,24000,F,174,FOR_SALE,10464510,60,Tienen,234,3300,310000,1325,20001,2000,1,HOUSE,HOUSE
Rue Sainte anne  165,3,82003,F,175,FOR_SALE,10582296,365,Fauvillers,540,6637,310000,574,80000,3000,4,HOUSE,HOUSE
Rue Des Bassins  15,3,52000,B,98,FOR_SALE,10582956,273,Manage Bellecourt,371,7170,310000,836,50000,3000,4,HOUSE,HOUSE
Leuvenselaan  108,5,24000,C,334,FOR_SALE,10232367,137,Tienen,471,3300,315000,669,20001,2000,1,HOUSE,HOUSE
Rue du Moulin à Vent  4,5,62000,C,200,FOR_SALE,10616891,350,Awans,550,4340,315000,573,62000,3000,6,HOUSE,HOUSE
Desselgemsestraat  12,4,37000,D,188,FOR_SALE,10653647,504,Ooigem,692,8710,315000,455,30000,2000,5,HOUSE,HOUSE
Rue Bailly Deflandre  30-32,4,62000,D,173,FOR_SALE,10675374,490,Liege Grivrgnée,663,4030,319000,481,62000,3000,5,HOUSE,HOUSE
Avenue Roi Albert  234,4,92000,B,172,FOR_SALE,10649797,0,Andenne,172,5300,319000,1855,90000,3000,5,APARTMENT_BLOCK,HOUSE
Bredestraat  23,4,41000,C,180,FOR_SALE,10329177,121,Aalst,301,9300,320000,1063,40000,2000,5,HOUSE,HOUSE
None  None,4,21000,E,133,FOR_SALE,10652496,75,Evere,208,1140,325000,1562,400001,4000,5,HOUSE,HOUSE
None  None,1,21000,C,106,FOR_SALE,10273947,0,Uccle,106,1180,325000,3066,400001,4000,2,APARTMENT_BLOCK,HOUSE
None  None,4,25072,C,194,FOR_SALE,10287845,346,Chastre,540,1450,325000,602,20002,3000,5,HOUSE,HOUSE
Wolmarkt  5,3,24000,F,117,FOR_SALE,10460669,100,Tienen,217,3300,325000,1498,20001,2000,1,HOUSE,HOUSE
Sint-Truidensesteenweg  48,4,24000,F,153,FOR_SALE,10554176,298,Tienen,451,3300,325000,721,20001,2000,1,HOUSE,HOUSE
None  None,3,92000,G,130,FOR_SALE,10612095,2370,KEUMIÉE,2500,5060,325000,130,90000,3000,4,HOUSE,HOUSE
Rue Neuve  23,7,56000,E,245,FOR_SALE,10642628,580,Merbes-le-Château,825,6567,325000,394,50000,3000,12,MANSION,HOUSE
Rue Haute Forière  33,5,51004,D,302,FOR_SALE,10267522,1793,Irchonwelz,2095,7801,325000,155,50000,3000,6,HOUSE,HOUSE
Henricus bracqstraat  36,4,44000,F,161,FOR_SALE,10617110,84,Mariakerke,245,9030,325000,1327,40000,2000,5,HOUSE,HOUSE
Rue de Ronchy  16,4,84000,A,136,FOR_SALE,10547729,483,Wellin,619,6920,329000,532,80000,3000,5,HOUSE,HOUSE
Hof-ter-Varentstraat  10,5,42000,D,206,FOR_SALE,10612426,400,Lebbeke,606,9280,329000,543,40000,2000,6,HOUSE,HOUSE
None  None,2,52000,C,272,FOR_SALE,10474693,160,Charleroi,432,6000,329900,764,50000,3000,3,APARTMENT_BLOCK,HOUSE
None  None,4,25072,E,310,FOR_SALE,10540160,222,Genappe,532,1470,330000,620,20002,3000,5,HOUSE,HOUSE
Aandorenstraat  59,5,24000,B,179,FOR_SALE,10658353,126,Tienen,305,3300,330000,1082,20001,2000,1,HOUSE,HOUSE
Rue de la station  66,6,55040,D,337,FOR_SALE,10614333,945,Le Roeulx,1282,7070,330000,257,50000,3000,7,MANSION,HOUSE
Oosterzelestraat  1,3,42000,B,155,FOR_SALE,10174697,381,Wetteren,536,9230,330000,616,40000,2000,4,HOUSE,HOUSE
None  None,3,23000,E,115,FOR_SALE,10454080,145,Drogenbos,260,1620,335000,1288,20001,2000,4,HOUSE,HOUSE
Sint-Damiaanstraat  129,3,11002,C,130,FOR_SALE,10523907,188,Wommelgem,318,2160,335000,1053,11002,2000,4,HOUSE,HOUSE
"Harlingerhof  41,",3,43000,E,132,FOR_SALE,10615628,542,Maldegem,674,9990,335000,497,40000,2000,4,BUNGALOW,HOUSE
Landjuweelstraat  42,5,44000,B,183,FOR_SALE,10666265,70,Ledeberg,253,9050,339000,1340,40000,2000,6,HOUSE,HOUSE
Landjuweelstraat  42,5,44000,B,183,FOR_SALE,10666264,70,Ledeberg,253,9050,339000,1340,40000,2000,6,HOUSE,HOUSE
Nederenamestraat  7,2,45000,C,252,FOR_SALE,10655914,222,Oudenaarde,474,9700,339000,715,40000,2000,3,HOUSE,HOUSE
Bredeweg  29,3,41000,F,140,FOR_SALE,10452334,895,Aalst,1035,9320,339500,328,40000,2000,4,HOUSE,HOUSE
Hoge Posthoornstraat  90,3,34000,B,134,FOR_SALE,10629628,174,Wevelgem,308,8560,340000,1104,30000,2000,4,HOUSE,HOUSE
Schuitje  35,3,42000,E,138,FOR_SALE,10645634,135,Berlare,273,9290,340000,1245,40000,2000,4,HOUSE,HOUSE
Rue de Dinant  9,5,25072,D,170,FOR_SALE,10620197,374,25072,544,1400,345000,634,20002,3000,6,HOUSE,HOUSE
Rue de Dinant  9,5,25072,D,170,FOR_SALE,10551089,374,25072,544,1401,345000,634,20002,3000,6,HOUSE,HOUSE
Tiensebaan  47,2,24000,E,175,FOR_SALE,10657212,500,Goetsenhoven,675,3300,345000,511,20001,2000,3,HOUSE,HOUSE
Begoniastraat  15,4,31000,D,163,FOR_SALE,10546989,658,Torhout,821,8820,345000,420,30000,2000,5,HOUSE,HOUSE
Klei  166,3,23000,F,180,FOR_SALE,10660470,1660,Opwijk,1840,1745,349000,190,20001,2000,4,HOUSE,HOUSE
Rue du Cimetiere  20,3,56000,B,115,FOR_SALE,10410778,834,Lobbes,949,6540,349000,368,50000,3000,4,VILLA,HOUSE
Gehuchte  5,3,41000,E,230,FOR_SALE,10656787,1235,Zottegem,1465,9620,349000,238,40000,2000,4,HOUSE,HOUSE
Molenberg  1,8,45000,B,606,FOR_SALE,10551930,1418,Brakel,2024,9660,349000,172,40000,2000,9,HOUSE,HOUSE
Rue Tilmont  64,3,21000,C,158,FOR_SALE,10648640,0,Jette,158,1090,350000,2215,400001,4000,4,HOUSE,HOUSE
Georges Wittouckstraat  10,4,23000,C,273,FOR_SALE,10668786,386,Sint-Pieters-Leeuw,659,1600,350000,531,20001,2000,5,HOUSE,HOUSE
Rijschoolstraat  9 9A,3,24000,F,348,FOR_SALE,10473803,1015,Tienen,1363,3300,350000,257,20001,2000,1,HOUSE,HOUSE
None  None,4,91000,C,220,FOR_SALE,10602173,713,Beauraing Pondrôme,933,5574,350000,375,90000,3000,5,HOUSE,HOUSE
None  None,5,84000,D,165,FOR_SALE,10622626,512,Daverdisse,677,6929,350000,517,80000,3000,6,HOUSE,HOUSE
Rue ropaix  146,4,53053,B,235,FOR_SALE,10650915,1943,Dour,2178,7370,350000,161,50000,3000,5,VILLA,HOUSE
Rue ropaix  146,4,53053,B,235,FOR_SALE,10648872,1943,Dour,2178,7370,350000,161,50000,3000,5,VILLA,HOUSE
None  None,2,51004,B,147,FOR_SALE,10379886,1488,Frasnes-lez-Anvaing,1635,7910,350000,214,50000,3000,3,HOUSE,HOUSE
Kastanjestraat  8,2,41000,B,190,FOR_SALE,10671471,786,Geraardsbergen,976,9500,350000,359,40000,2000,3,VILLA,HOUSE
Vluchtenboerstraat  47,3,44000,B,234,FOR_SALE,10672720,682,Gavere,916,9890,350000,382,40000,2000,1,HOUSE,HOUSE
Vluchtenboerstraat  47,3,44000,B,234,FOR_SALE,10644492,682,Gavere,916,9890,350000,382,40000,2000,1,HOUSE,HOUSE
None  None,6,61031,F,350,FOR_SALE,10525543,0,61031,350,4500,355000,1014,62000,3000,7,HOUSE,HOUSE
Mechelsesteenweg  82-84,5,42000,F,230,FOR_SALE,10656672,450,Dendermonde,680,9200,359000,528,40000,2000,6,MANSION,HOUSE
Prins Albertstraat  11,4,31000,D,,FOR_SALE,9781685,235,Sint-Kruis,63,8310,365000,5794,30000,2000,5,HOUSE,HOUSE
Rue Neerveld  101-103,2,21000,C,103,FOR_SALE,10707219,,Woluwe-Saint-Lambert,103,1200,523000,5078,400001,4000,3,PENTHOUSE,APARTMENT
Parkdreef  45,2,21000,B,82,FOR_SALE,10705271,,Bruxelles,82,1000,308000,3756,400001,4000,3,APARTMENT,APARTMENT
Parkdreef  45,2,21000,C,92,FOR_SALE,10705278,,Bruxelles,92,1000,325000,3533,400001,4000,3,APARTMENT,APARTMENT
"Recollettenstraat  7,A 0304",1,38000,B,65,FOR_SALE,10540696,73,Nieuwpoort,138,8620,365000,2645,30000,2000,2,HOUSE,HOUSE
Rue Saint-Léonard  178,4,62000,B,,FOR_SALE,10336012,0,62000,48,4000,368000,7667,62000,3000,5,HOUSE,HOUSE
Parkdreef  45,2,21000,C,81,FOR_SALE,10705272,,Bruxelles,81,1000,326000,4025,400001,4000,3,PENTHOUSE,APARTMENT
Parkdreef  45,1,21000,C,80,FOR_SALE,10705280,,Bruxelles,80,1000,340000,4250,400001,4000,2,APARTMENT,APARTMENT
Drève du parc  45,2,21000,B,99,FOR_SALE,10705270,,Bruxelles,99,1000,360000,3636,400001,4000,3,APARTMENT,APARTMENT
Parkdreef  45,2,21000,D,92,FOR_SALE,10705273,,Bruxelles,92,1000,361000,3924,400001,4000,3,APARTMENT,APARTMENT
Drève du parc  45,2,21000,C,96,FOR_SALE,10705269,,Bruxelles,96,1000,372000,3875,400001,4000,3,APARTMENT,APARTMENT
Avenue du Port  86C,3,21000,E,,FOR_SALE,10703498,,Bruxelles,86,1000,336500,3913,400001,4000,4,APARTMENT_GROUP,APARTMENT_GROUP
Drève du Parc  None,3,21000,D,,FOR_SALE,10703522,,Bruxelles,90,1000,331000,3678,400001,4000,4,APARTMENT_GROUP,APARTMENT_GROUP
Drève du Parc  None,1,21000,B,,FOR_SALE,10703556,,Bruxelles,92,1000,347500,3777,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
None  None,1,21000,E,,FOR_SALE,10707292,,Bruxelles,27,1000,230500,8537,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
Avenue Gabriel Emile Lebon  163,1,21000,E,49,FOR_SALE,10707234,,Woluwe-Saint-Pierre,49,1150,225000,4592,400001,4000,2,PENTHOUSE,APARTMENT
Drapstraat  22,3,44000,C,,FOR_SALE,10707435,,Nazareth,113,9810,459000,4062,40000,2000,4,APARTMENT_GROUP,APARTMENT_GROUP
Avenue Wolvendael  18,2,21000,E,97,FOR_SALE,10708233,,Uccle,97,1180,340000,3505,400001,4000,3,APARTMENT,APARTMENT
Avenue Emile De Mot  19,4,21000,E,,FOR_SALE,10707347,,Bruxelles,246,1000,2197500,8933,400001,4000,5,APARTMENT_GROUP,APARTMENT_GROUP
Tolpoortstraat  40,2,44000,F,99,FOR_SALE,10692292,,Deinze,99,9800,395000,3990,40000,2000,3,APARTMENT,APARTMENT
Rue Groeselenberg  51,3,21000,D,179,FOR_SALE,10700871,,Uccle,179,1180,1360000,7598,400001,4000,4,PENTHOUSE,APARTMENT
Sinte Annalaan  101-105,2,41000,F,,FOR_SALE,10700346,,Aalst,88,9300,253052,2876,40000,2000,3,APARTMENT_GROUP,APARTMENT_GROUP
Kerkstraat  88,1,43000,B,78,FOR_SALE,10700732,,Eeklo,78,9900,223000,2859,40000,2000,2,DUPLEX,APARTMENT
Parkdreef  45,2,21000,D,94,FOR_SALE,10705274,,Bruxelles,94,1000,390000,4149,400001,4000,3,PENTHOUSE,APARTMENT
Avenue Winston Churchill  69,2,21000,D,95,FOR_SALE,10704729,,Uccle,95,1180,435000,4579,400001,4000,3,APARTMENT,APARTMENT
None  None,1,21000,D,,FOR_SALE,10707283,,Uccle,163,1180,1297500,7960,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
Leopoldhelling  4,1,31000,F,59,FOR_SALE,10527503,,Blankenberge,59,8370,135000,2288,30000,2000,2,APARTMENT,APARTMENT
Bampslaan  7,2,71000,D,,FOR_SALE,10706462,,Hasselt,112,3500,457454,4084,70000,2000,3,APARTMENT_GROUP,APARTMENT_GROUP
Rue François Lapierre  7,3,62000,C,,FOR_SALE,10705960,,Fléron,74,4620,230500,3115,62000,3000,4,APARTMENT_GROUP,APARTMENT_GROUP
Rue Neerveld  101,2,21000,C,,FOR_SALE,10700628,,Woluwe-Saint-Lambert,145,1200,837000,5772,400001,4000,3,APARTMENT_GROUP,APARTMENT_GROUP
Opwijksestraat  304,2,42000,D,100,FOR_SALE,10701213,,Lebbeke,100,9280,225000,2250,40000,2000,3,APARTMENT,APARTMENT
Eindgracht  2,3,71000,E,,FOR_SALE,10700101,,Genk,106,3600,399000,3764,70000,2000,4,APARTMENT_GROUP,APARTMENT_GROUP
Opwijksestraat  304,2,42000,C,100,FOR_SALE,10701212,,Lebbeke,100,9280,247000,2470,40000,2000,3,APARTMENT,APARTMENT
Lippenslaan  164,2,31000,F,94,FOR_SALE,10704815,,Knokke-Heist,94,8300,595000,6330,30000,2000,3,APARTMENT,APARTMENT
Parkdreef  45,3,21000,C,161,FOR_SALE,10705286,,Bruxelles,161,1000,746000,4634,400001,4000,4,APARTMENT,APARTMENT
Rue de Rotheux  329,2,62000,C,65,FOR_SALE,10663786,,62096,65,4100,150000,2308,62000,3000,3,APARTMENT,APARTMENT
Stationsstraat  56,3,41000,F,90,FOR_SALE,10695384,,Ninove,90,9400,175000,1944,40000,2000,4,PENTHOUSE,APARTMENT
Schepelstraat  8,3,11002,C,220,FOR_SALE,10651030,316,11002,536,2180,369000,688,11002,2000,4,HOUSE,HOUSE
Tategemstraat  43,3,34000,E,148,FOR_SALE,10467068,295,Waregem,443,8790,369000,833,30000,2000,4,HOUSE,HOUSE
Koninginlaan  33,1,31000,D,67,FOR_SALE,10706094,,Blankenberge,67,8370,169000,2522,30000,2000,2,APARTMENT,APARTMENT
Bvd de la Cambre  25,0,21000,D,,FOR_SALE,9881253,,Brussels City,26,1000,230500,8865,400001,4000,1,APARTMENT_GROUP,APARTMENT_GROUP
Rue de la Petite Ile  20,4,21000,C,,FOR_SALE,10704879,,Anderlecht,94,1070,306250,3258,400001,4000,5,APARTMENT_GROUP,APARTMENT_GROUP
Parkdreef  45,4,21000,C,,FOR_SALE,10705022,,Bruxelles,96,1000,376500,3922,400001,4000,5,APARTMENT_GROUP,APARTMENT_GROUP
Broekstraat  142,3,45000,F,,FOR_SALE,10701107,,Oudenaarde,96,9700,334875,3488,40000,2000,4,APARTMENT_GROUP,APARTMENT_GROUP
Rammelstraat  46,4,41000,F,,FOR_SALE,10700330,,Lede,116,9340,397573,3427,40000,2000,5,APARTMENT_GROUP,APARTMENT_GROUP
Rue Colonel Bourg  115-117,3,21000,D,,FOR_SALE,10700482,,Evere,106,1140,487000,4594,400001,4000,4,APARTMENT_GROUP,APARTMENT_GROUP
Patersdreef  None,4,37000,B,,FOR_SALE,10700700,,Tielt,120,8700,389000,3242,30000,2000,5,APARTMENT_GROUP,APARTMENT_GROUP
Rue Colonel Bourg  115-117,0,21000,B,,FOR_SALE,10700521,,Evere,99,1140,395500,3995,400001,4000,1,APARTMENT_GROUP,APARTMENT_GROUP
Brueghellaan  10,1,23000,D,57,FOR_SALE,10694974,,Wezembeek-Oppem,57,1970,230000,4035,20001,2000,2,APARTMENT,APARTMENT
"ANTWERPSELAAN  4, F6",1,21000,F,54,FOR_SALE,10696905,,Brussels City,54,1000,237500,4398,400001,4000,2,APARTMENT,APARTMENT
Egmont Park  11,1,44000,F,76,FOR_SALE,10683823,,Gavere,76,9890,265000,3487,40000,2000,2,APARTMENT,APARTMENT
Egmont Park  11,1,44000,D,76,FOR_SALE,10683816,,Gavere,76,9890,269000,3539,40000,2000,2,APARTMENT,APARTMENT
None  None,0,92000,D,,FOR_SALE,10697106,,Jambes,100,5100,309178,3092,90000,3000,1,APARTMENT_GROUP,APARTMENT_GROUP
Statiestraat  33,3,42000,D,221,FOR_SALE,10633175,693,Wichelen,914,9260,369000,404,40000,2000,4,HOUSE,HOUSE
Vereeckenstraat  7,3,41000,B,169,FOR_SALE,10675028,190,Gijzegem,359,9308,369000,1028,40000,2000,4,HOUSE,HOUSE
Bosstraat  61,4,41000,B,228,FOR_SALE,10660009,856,Erpe-Mere,1084,9420,369000,340,40000,2000,5,HOUSE,HOUSE
Hoegaardenstraat  73,4,24000,B,330,FOR_SALE,10542455,711,Tienen,1041,3300,370000,355,20001,2000,1,HOUSE,HOUSE
Dreve du Parc  45,1,21000,B,,FOR_SALE,10704998,,Brussels City,100,1000,370500,3705,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
Parkdreef  45,4,21000,D,,FOR_SALE,10705073,,Bruxelles,94,1000,377000,4011,400001,4000,5,APARTMENT_GROUP,APARTMENT_GROUP
Waterkasteelstraat  8,2,31000,D,95,FOR_SALE,10250038,,Blankenberge,95,8370,365000,3842,30000,2000,3,APARTMENT,APARTMENT
Parkdreef  45,4,21000,D,,FOR_SALE,10705166,,Bruxelles,132,1000,576500,4367,400001,4000,5,APARTMENT_GROUP,APARTMENT_GROUP
Quai des Usines  156,1,21000,C,,FOR_SALE,10700398,,Bruxelles,136,1000,460000,3382,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
Avenue du Onze Novembre  53-55,2,21000,F,116,FOR_SALE,10701346,,Etterbeek,116,1040,430000,3707,400001,4000,3,APARTMENT,APARTMENT
None  None,1,21000,E,,FOR_SALE,10700593,,Ixelles,163,1050,1297500,7960,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
Boulevard du Triomphe  201,0,21000,D,46,FOR_SALE,10695056,,Auderghem,46,1160,250500,5446,400001,4000,1,FLAT_STUDIO,APARTMENT
Rue Neerveld  101-103,0,21000,D,50,FOR_SALE,10695138,,Woluwe-Saint-Lambert,50,1200,264000,5280,400001,4000,1,FLAT_STUDIO,APARTMENT
None  None,1,25072,C,,FOR_SALE,10697241,,Wavre,158,1300,620000,3924,20002,3000,2,APARTMENT_GROUP,APARTMENT_GROUP
None  None,4,25072,C,,FOR_SALE,10697217,,Bierges,158,1301,620000,3924,20002,3000,5,APARTMENT_GROUP,APARTMENT_GROUP
Boulevard Frère Orban  4A,3,62000,C,130,FOR_SALE,10697073,,62000,130,4000,299000,2300,62000,3000,4,APARTMENT,APARTMENT
Rue des Muguets  8,3,53053,F,262,FOR_SALE,10573519,1500,Baudour,1762,7331,370000,210,50000,3000,4,VILLA,HOUSE
Kardinaal Cardijnstraat  10,5,11002,B,320,FOR_SALE,10066464,365,Terhagen,685,2840,375000,547,11002,2000,6,HOUSE,HOUSE
rue de la limite  190,2,62000,D,206,FOR_SALE,10524569,800,Herstal,1006,4040,375000,373,62000,3000,3,HOUSE,HOUSE
rue de la limite  190,2,62000,D,206,FOR_SALE,10524258,800,Milmort,1006,4041,375000,373,62000,3000,3,HOUSE,HOUSE
None  None,3,21000,F,,FOR_SALE,10705140,,Bruxelles,110,1000,458000,4164,400001,4000,4,APARTMENT_GROUP,APARTMENT_GROUP
"Bruul  5, 201",2,45000,B,86,FOR_SALE,10703810,,Ronse,86,9600,185000,2151,40000,2000,3,APARTMENT,APARTMENT
Geeraard de Cremerstraat  133,3,46000,D,,FOR_SALE,10702679,,Kruibeke,98,9150,290000,2959,40000,2000,4,APARTMENT_GROUP,APARTMENT_GROUP
Tolpoortstraat  40,3,44000,B,,FOR_SALE,10703230,,Deinze,80,9800,330000,4125,40000,2000,4,APARTMENT_GROUP,APARTMENT_GROUP
Boulevard du Triomphe  201,1,21000,B,,FOR_SALE,10703422,,Auderghem,76,1160,391000,5145,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
Keizer Karelstraat  113,1,44000,C,65,FOR_SALE,10707428,,Gent,65,9000,265000,4077,40000,2000,2,APARTMENT,APARTMENT
Rue Neerveld  101-103,1,21000,D,69,FOR_SALE,10695137,,Woluwe-Saint-Lambert,69,1200,315000,4565,400001,4000,2,APARTMENT,APARTMENT
Rue du Prince Royal  37-41,0,21000,F,48,FOR_SALE,10695135,,Ixelles,48,1050,323000,6729,400001,4000,1,FLAT_STUDIO,APARTMENT
Avenue Brugmann  409A,2,21000,F,126,FOR_SALE,10707645,,Uccle,126,1180,495000,3929,400001,4000,3,APARTMENT,APARTMENT
Egmont Park  11,2,44000,C,97,FOR_SALE,10683826,,Gavere,97,9890,316000,3258,40000,2000,3,APARTMENT,APARTMENT
Egmont Park  11,2,44000,E,97,FOR_SALE,10683820,,Gavere,97,9890,328500,3387,40000,2000,3,APARTMENT,APARTMENT
Leopoldhelling  4,2,31000,F,68,FOR_SALE,10696393,,Blankenberge,68,8370,339000,4985,30000,2000,3,APARTMENT,APARTMENT
Egmont Park  11,3,44000,D,112,FOR_SALE,10683825,,Gavere,112,9890,356000,3179,40000,2000,4,APARTMENT,APARTMENT
Rozendal  25-27,5,31000,F,,FOR_SALE,10571541,193,Brugge,213,8000,375000,1761,30000,2000,6,HOUSE,HOUSE
"Gistelsesteenweg  39,",4,35013,C,,FOR_SALE,10065571,841,Oudenburg,26,8460,375000,14423,30000,2000,5,HOUSE,HOUSE
"Hugo Verrieststraat  5,B",3,34000,F,175,FOR_SALE,10645268,187,Waregem,362,8790,375000,1036,30000,2000,4,HOUSE,HOUSE
"Hugo Verrieststraat  5,B",3,34000,F,175,FOR_SALE,10629449,187,Waregem,362,8790,375000,1036,30000,2000,4,HOUSE,HOUSE
Vijfwegenstraat  252,4,36000,D,263,FOR_SALE,10665087,320,Roeselare,583,8800,375000,643,30000,2000,1,HOUSE,HOUSE
Avenue de Selliers de Moranville  31,3,21000,E,,FOR_SALE,10699341,,BERCHEM-SAINTE-AGATHE,80,1082,337500,4219,400001,4000,4,APARTMENT_GROUP,APARTMENT_GROUP
None  None,0,21000,E,,FOR_SALE,10699275,,Forest,82,1190,292500,3567,400001,4000,1,APARTMENT_GROUP,APARTMENT_GROUP
Rue Neerveld  101-103,3,21000,E,124,FOR_SALE,10695140,,Woluwe-Saint-Lambert,124,1200,679000,5476,400001,4000,4,APARTMENT,APARTMENT
Kustlaan  30,2,31000,D,62,FOR_SALE,10698373,,Knokke-Heist,62,8300,735000,11855,30000,2000,3,APARTMENT,APARTMENT
Rue Duquesnoy  38,4,21000,C,200,FOR_SALE,10707483,,Bruxelles,200,1000,854000,4270,400001,4000,5,TRIPLEX,APARTMENT
Meerlaan  50,2,31000,E,112,FOR_SALE,10707657,,Knokke-Heist,112,8300,975000,8705,30000,2000,3,APARTMENT,APARTMENT
Egmont Park  11,3,44000,C,111,FOR_SALE,10683819,,Gavere,111,9890,360000,3243,40000,2000,4,APARTMENT,APARTMENT
Egmont Park  11,2,44000,B,126,FOR_SALE,10683824,,Gavere,126,9890,366000,2905,40000,2000,3,APARTMENT,APARTMENT
Egmont Park  11,3,44000,C,126,FOR_SALE,10683817,,Gavere,126,9890,369500,2933,40000,2000,4,APARTMENT,APARTMENT
Egmont Park  11,2,44000,C,165,FOR_SALE,10683813,,Gavere,165,9890,412500,2500,40000,2000,3,APARTMENT,APARTMENT
Langhalsbeekstraat  31,4,46000,F,300,FOR_SALE,10634836,400,Sint-Niklaas,700,9100,379000,541,40000,2000,5,HOUSE,HOUSE
Zonnebloemstraat  7,4,11002,C,201,FOR_SALE,10486619,82,11002en Berchem,283,2600,380000,1343,11002,2000,5,HOUSE,HOUSE
Van Maerlantstraat  12,6,31000,C,,FOR_SALE,10609669,560,Oostkamp,17,8020,380000,22353,30000,2000,1,HOUSE,HOUSE
Spermaliestraat  175,3,35013,D,155,FOR_SALE,10646330,332,Middelkerke,487,8430,380000,780,30000,2000,4,HOUSE,HOUSE
Rue Mabotte  80,4,62000,B,265,FOR_SALE,10675817,389,62096,654,4100,385000,589,62000,3000,5,HOUSE,HOUSE
Rue Des Carburants - Brandstoffenstraat  53,1,21000,D,,FOR_SALE,10698849,,Forest,82,1190,292500,3567,400001,4000,2,APARTMENT_GROUP,APARTMENT_GROUP
Rue de Sedent  44,3,92000,A,,FOR_SALE,10697780,,Jambes,104,5100,296500,2851,90000,3000,4,APARTMENT_GROUP,APARTMENT_GROUP
Rue de la Filature  20,3,21000,F,,FOR_SALE,10699281,,Anderlecht,92,1070,296250,3220,400001,4000,4,APARTMENT_GROUP,APARTMENT_GROUP
Drève Du Parc - Parkdreef  45,4,21000,D,,FOR_SALE,10698853,,Brussels City,96,1000,376500,3922,400001,4000,5,APARTMENT_GROUP,APARTMENT_GROUP
Rue de la Petite Ile  20,3,21000,B,119,FOR_SALE,10704734,,Anderlecht,119,1070,355000,2983,400001,4000,4,APARTMENT,APARTMENT
Rue de la Petite Ile  20,3,21000,E,118,FOR_SALE,10704738,,Anderlecht,118,1070,362500,3072,400001,4000,4,APARTMENT,APARTMENT
Parkdreef  45,3,21000,F,110,FOR_SALE,10705279,,Bruxelles,110,1000,386000,3509,400001,4000,4,GROUND_FLOOR,APARTMENT
Allee Christian de Duve  13,3,21000,F,120,FOR_SALE,10572661,,Sint-Lambrechts-Woluwe,120,1200,540000,4500,400001,4000,4,APARTMENT,APARTMENT
Allée Christian de Duve  11-17,3,21000,E,120,FOR_SALE,10456504,,Woluwe-Saint-Lambert,120,1200,540000,4500,400001,4000,4,APARTMENT,APARTMENT
Allée Christian de Duve  11-17,2,21000,B,120,FOR_SALE,10456502,,Woluwe-Saint-Lambert,120,1200,545000,4542,400001,4000,3,APARTMENT,APARTMENT
Drapstraat  22,3,44000,F,146,FOR_SALE,10707431,,Nazareth,146,9810,601000,4116,40000,2000,4,PENTHOUSE,APARTMENT
Boulevard du Triomphe  201,0,21000,C,49,FOR_SALE,10705243,,Auderghem,49,1160,262500,5357,400001,4000,1,FLAT_STUDIO,APARTMENT
Grotesteenweg-Zuid  26,4,44000,D,,FOR_SALE,10688066,,Gent,86,9052,390000,4535,40000,2000,5,APARTMENT_GROUP,APARTMENT_GROUP
