address,bedroom_count,district,epc_score,habitable_surface,immo_status,immocode,land_surface,municipality,plot_area,postalcode,price,price_per_sqmeter,province,region,room_count,subtype,type
Rue Vanderstichelen  81,4,21000,B,137,FOR_SALE,9497970,68,Molenbeek-Saint-Jean,205,1080,449000,2190,400001,4000,5,HOUSE,HOUSE
Avenue Paul Terlinden  24,6,25072,D,185,FOR_SALE,10625053,302,Rixensart,487,1330,449000,922,20002,3000,7,VILLA,HOUSE
De Zippe  8,3,23000,B,225,FOR_SALE,10537965,295,Merchtem,520,1785,449000,863,20001,2000,4,TOWN_HOUSE,HOUSE
Zijpveld  None,4,41000,D,,FOR_SALE,10580523,,Geraardsbergen,245,9500,472300,1928,40000,2000,5,HOUSE_GROUP,HOUSE_GROUP
Groeneweg  87,3,23000,D,222,FOR_SALE,10524211,245,Affligem,467,1790,377500,808,20001,2000,4,HOUSE,HOUSE
Kalkstraat  28,3,34000,C,194,FOR_SALE,10631459,613,Anzegem,807,8570,485000,601,30000,2000,4,HOUSE,HOUSE
Rue Winston Churchill  7,2,53053,E,300,FOR_SALE,9984912,10389,EUGIES,10689,7080,495000,46,50000,3000,3,HOUSE,HOUSE
Rue de la Résistance  182,5,64074,D,240,FOR_SALE,10687918,4330,Remicourt,4570,4350,695000,152,62000,3000,6,EXCEPTIONAL_PROPERTY,HOUSE
Montfortstraat  8,3,11002,B,158,FOR_SALE,10683549,530,Kontich,688,2550,498000,724,11002,2000,4,HOUSE,HOUSE
Edingseweg  240,4,41000,F,208,FOR_SALE,10687364,109,Geraardsbergen,317,9500,285000,899,40000,2000,1,HOUSE,HOUSE
None  None,2,11002,F,,FOR_SALE,10659193,,Wuustwezel,199,2990,585000,2940,11002,2000,3,HOUSE_GROUP,HOUSE_GROUP
Streekbaan  48,5,23000,F,292,FOR_SALE,10691113,998,Vilvoorde,1290,1800,889000,689,20001,2000,6,VILLA,HOUSE
avenue de la Ramée  16,4,21000,C,370,FOR_SALE,10691842,215,Uccle,585,1180,1550000,2650,400001,4000,5,MANSION,HOUSE
Rue du Bois des Raves  61,2,55040,D,111,FOR_SALE,10700736,361,La Louvière Houdeng-Goegnies,472,7110,129000,273,50000,3000,3,HOUSE,HOUSE
Kleinekapellaan  16,4,23000,E,299,FOR_SALE,10692783,235,Dilbeek,534,1700,530000,993,20001,2000,5,APARTMENT_BLOCK,HOUSE
OLMENSTRAAT  23,4,12000,F,201,FOR_SALE,10704059,414,BEERZEL,615,2580,499000,811,11002,2000,5,HOUSE,HOUSE
Gentseweg  344,3,46000,E,150,FOR_SALE,10704032,1843,BEVEREN,1993,9120,571000,287,40000,2000,4,HOUSE,HOUSE
Grote Veldstraat  38,4,36000,D,194,FOR_SALE,10707102,202,Staden,396,8840,310000,783,30000,2000,5,HOUSE,HOUSE
Binnenstraat  209,3,41000,B,183,FOR_SALE,10682251,188,Aalst,371,9300,274000,739,40000,2000,4,HOUSE,HOUSE
Rue des Saules  101,2,61031,D,145,FOR_SALE,10683180,773,TIHANGE,918,4500,319000,347,62000,3000,3,BUNGALOW,HOUSE
Rue de l'Oseraie  38,2,62000,C,104,FOR_SALE,10680063,543,ROTHEUX-RIMIÈRE,647,4120,319000,493,62000,3000,3,BUNGALOW,HOUSE
Avenue Van Sever  70,3,23000,F,190,FOR_SALE,10107766,709,Wezembeek-Oppem,899,1970,645000,717,20001,2000,4,HOUSE,HOUSE
