price,price_per_sqmeter,plot_area,habitable_surface,bedroom_count,land_surface,room_count
235000,355.0,662.0,230.0,5,432.0,6
1400000,284.0,4934.0,524.0,6,4410.0,7
1480000,1024.0,1445.0,425.0,6,1020.0,7
1495000,854.0,1750.0,700.0,9,1050.0,10
541000,3513.0,154.0,0.0,0,0.0,1
549000,972.0,565.0,235.0,4,330.0,5
320000,649.0,493.0,88.0,3,405.0,4
367500,1997.0,184.0,0.0,2,0.0,3
336500,3004.0,112.0,0.0,1,0.0,2
347550,2214.0,157.0,0.0,3,0.0,4
329000,286.0,1151.0,140.0,5,1011.0,6
525000,1343.0,391.0,196.0,4,195.0,5
529000,783.0,676.0,146.0,3,530.0,4
529000,641.0,825.0,198.0,3,627.0,4
549000,1323.0,415.0,205.0,4,210.0,5
975000,557.0,1752.0,250.0,3,1502.0,4
329000,1443.0,228.0,135.0,3,93.0,4
359999,570.0,632.0,177.0,3,455.0,4
380000,319.0,1190.0,140.0,3,1050.0,4
490000,359.0,1365.0,165.0,3,1200.0,4
524400,2980.0,176.0,0.0,0,0.0,1
537500,3952.0,136.0,0.0,2,0.0,3
640000,1314.0,487.0,289.0,3,198.0,4
299000,377.0,794.0,165.0,3,629.0,4
429000,841.0,510.0,185.0,3,325.0,4
595000,1522.0,391.0,140.0,3,251.0,4
649000,635.0,1022.0,262.0,4,760.0,5
395000,978.0,404.0,164.0,2,240.0,3
399000,602.0,663.0,230.0,4,433.0,5
490000,1219.0,402.0,292.0,4,110.0,5
490000,1219.0,402.0,292.0,4,110.0,5
595000,1046.0,569.0,203.0,5,366.0,6
595000,1046.0,569.0,203.0,5,366.0,6
299000,735.0,407.0,175.0,3,232.0,4
420000,944.0,445.0,245.0,4,200.0,5
420000,1312.0,320.0,144.0,3,176.0,4
420000,687.0,611.0,126.0,3,485.0,4
845000,1296.0,652.0,252.0,6,400.0,7
845000,934.0,905.0,490.0,5,415.0,6
845000,1965.0,430.0,220.0,4,210.0,5
400000,1198.0,334.0,180.0,3,154.0,4
400000,211.0,1900.0,330.0,4,1570.0,5
409000,2589.0,158.0,0.0,2,0.0,3
429500,2497.0,172.0,0.0,4,0.0,5
370000,1312.0,282.0,162.0,4,120.0,5
372000,2385.0,156.0,0.0,4,0.0,5
375000,1394.0,269.0,171.0,3,98.0,4
424500,2653.0,160.0,0.0,2,0.0,3
375000,566.0,662.0,348.0,4,314.0,5
699000,804.0,869.0,200.0,3,669.0,4
725000,2346.0,309.0,189.0,4,120.0,5
735000,187.0,3925.0,225.0,4,3700.0,5
745000,2093.0,356.0,280.0,4,76.0,5
575000,1976.0,291.0,220.0,3,71.0,4
1750000,547.0,3200.0,700.0,5,2500.0,6
219000,353.0,621.0,110.0,4,511.0,5
329000,634.0,519.0,160.0,3,359.0,4
675000,864.0,781.0,520.0,6,261.0,7
199000,562.0,354.0,125.0,4,229.0,5
392500,2336.0,168.0,0.0,3,0.0,4
823076,3793.0,217.0,0.0,3,0.0,4
825000,1875.0,440.0,220.0,4,220.0,5
841000,2851.0,295.0,0.0,3,0.0,4
845000,1654.0,511.0,336.0,5,175.0,6
249500,818.0,305.0,185.0,5,120.0,6
250000,240.0,1041.0,162.0,3,879.0,4
255000,882.0,289.0,155.0,0,134.0,1
325000,886.0,367.0,234.0,2,133.0,3
329000,578.0,569.0,167.0,2,402.0,3
329000,937.0,351.0,167.0,3,184.0,4
330000,177.0,1866.0,166.0,4,1700.0,5
334000,811.0,412.0,160.0,3,252.0,4
344000,1911.0,180.0,0.0,2,0.0,3
368602,2633.0,140.0,0.0,1,0.0,2
364000,2141.0,170.0,0.0,4,0.0,5
345000,997.0,346.0,190.0,4,156.0,5
610000,2877.0,212.0,0.0,4,0.0,5
615000,360.0,1710.0,450.0,5,1260.0,6
620000,528.0,1175.0,222.0,4,953.0,5
681261,2542.0,268.0,0.0,0,0.0,1
285000,101.0,2810.0,180.0,3,2630.0,4
299000,1107.0,270.0,134.0,3,136.0,4
399000,3661.0,109.0,0.0,3,190.0,4
399000,1873.0,213.0,0.0,3,190.0,4
190000,564.0,337.0,160.0,2,177.0,3
229000,716.0,320.0,175.0,3,145.0,4
245000,353.0,694.0,180.0,4,514.0,5
259000,328.0,790.0,180.0,5,610.0,6
260000,251.0,1036.0,161.0,4,875.0,5
435000,387.0,1125.0,185.0,4,940.0,5
470000,2196.0,214.0,0.0,2,0.0,3
269000,464.0,580.0,310.0,6,270.0,7
101297,325.0,312.0,130.0,3,182.0,4
81002,238.0,341.0,120.0,2,221.0,3
350000,1009.0,347.0,147.0,2,200.0,3
385000,1116.0,345.0,200.0,3,145.0,4
1350000,1985.0,680.0,540.0,9,140.0,10
1350000,102.0,13297.0,535.0,5,12762.0,6
1495000,100.0,14909.0,381.0,4,14528.0,5
1560000,525.0,2971.0,500.0,6,2471.0,7
1950000,2639.0,739.0,497.0,6,242.0,7
470000,1487.0,316.0,155.0,2,161.0,3
495000,1310.0,378.0,178.0,3,200.0,4
545000,613.0,889.0,169.0,3,720.0,4
549000,483.0,1136.0,232.0,4,904.0,5
149000,639.0,233.0,145.0,2,88.0,3
150000,272.0,552.0,139.0,2,413.0,3
235000,614.0,383.0,155.0,3,228.0,4
239000,1160.0,206.0,150.0,5,56.0,6
239000,504.0,474.0,213.0,5,261.0,6
1495000,167.0,8955.0,420.0,6,8535.0,7
1590000,1205.0,1319.0,319.0,3,1000.0,4
1625000,1718.0,946.0,326.0,6,620.0,7
1650000,1291.0,1278.0,460.0,8,818.0,9
695000,1357.0,512.0,256.0,5,256.0,6
695000,1357.0,512.0,256.0,5,256.0,6
1120000,2272.0,493.0,258.0,3,235.0,12
1190000,1327.0,897.0,369.0,5,528.0,15
1285000,2223.0,578.0,270.0,5,308.0,6
5500000,800.0,6873.0,1173.0,6,5700.0,7
524400,1384.0,379.0,175.0,4,204.0,5
524400,1376.0,381.0,176.0,4,205.0,5
225000,457.0,492.0,222.0,4,270.0,5
249000,618.0,403.0,188.0,4,215.0,5
270000,1051.0,257.0,90.0,2,167.0,3
479000,904.0,530.0,200.0,3,330.0,4
480000,637.0,753.0,313.0,4,440.0,5
875000,1215.0,720.0,165.0,3,555.0,4
895000,1057.0,847.0,285.0,4,562.0,5
209000,905.0,231.0,131.0,2,100.0,3
398000,292.0,1363.0,170.0,3,1193.0,4
430000,570.0,755.0,132.0,3,623.0,4
439000,522.0,841.0,161.0,2,680.0,3
450000,1355.0,332.0,140.0,3,192.0,4
450000,282.0,1596.0,123.0,3,1473.0,4
455000,1608.0,283.0,171.0,4,112.0,5
349000,1928.0,181.0,0.0,3,0.0,4
346936,2238.0,155.0,0.0,3,0.0,4
335000,1675.0,200.0,0.0,4,0.0,5
335000,1948.0,172.0,0.0,2,0.0,3
549000,818.0,671.0,207.0,4,464.0,5
549000,818.0,671.0,207.0,4,464.0,5
594500,2541.0,234.0,0.0,1,0.0,2
550000,1467.0,375.0,265.0,5,110.0,6
690000,140.0,4939.0,405.0,7,4534.0,8
460000,1057.0,435.0,210.0,4,225.0,5
179000,325.0,550.0,140.0,3,410.0,4
249000,416.0,599.0,320.0,4,279.0,5
640000,1314.0,487.0,289.0,3,198.0,4
159000,114.0,1391.0,119.0,2,1272.0,3
490000,426.0,1150.0,200.0,3,950.0,4
535000,1124.0,476.0,275.0,5,201.0,6
1050000,346.0,3035.0,335.0,5,2700.0,6
269000,578.0,465.0,130.0,3,335.0,4
299000,1459.0,205.0,129.0,3,76.0,4
570000,404.0,1410.0,258.0,6,1152.0,7
675000,1257.0,537.0,287.0,6,250.0,7
675000,1257.0,537.0,287.0,6,250.0,7
399000,226.0,1768.0,328.0,5,1440.0,6
598000,835.0,716.0,320.0,5,396.0,6
599000,309.0,1940.0,251.0,3,1689.0,4
599000,1479.0,405.0,210.0,3,195.0,4
329000,704.0,467.0,225.0,3,242.0,4
329000,463.0,710.0,155.0,3,555.0,4
350000,923.0,379.0,209.0,5,170.0,6
425000,2796.0,152.0,100.0,2,52.0,3
425000,301.0,1413.0,153.0,4,1260.0,5
845000,1912.0,442.0,310.0,6,132.0,7
427500,2286.0,187.0,0.0,0,0.0,1
375000,566.0,662.0,348.0,4,314.0,5
750000,808.0,928.0,513.0,6,415.0,7
675000,864.0,781.0,520.0,6,261.0,7
391500,2330.0,168.0,0.0,4,0.0,5
433125,2641.0,164.0,0.0,4,0.0,5
845000,894.0,945.0,365.0,6,580.0,7
849000,413.0,2055.0,346.0,4,1709.0,5
260000,912.0,285.0,130.0,2,155.0,3
268000,749.0,358.0,156.0,2,202.0,3
268500,507.0,530.0,160.0,3,370.0,4
335000,420.0,798.0,160.0,4,638.0,5
339000,652.0,520.0,270.0,4,250.0,5
339000,371.0,914.0,183.0,2,731.0,3
340000,1076.0,316.0,140.0,4,176.0,5
414000,2379.0,174.0,0.0,4,0.0,5
348000,2035.0,171.0,116.0,3,55.0,4
349000,234.0,1490.0,160.0,3,1330.0,4
649633,4848.0,134.0,0.0,0,0.0,1
639000,938.0,681.0,205.0,3,476.0,4
870000,302.0,2879.0,422.0,4,2457.0,12
275000,477.0,577.0,115.0,3,462.0,4
277500,1101.0,252.0,142.0,3,110.0,4
89000,420.0,212.0,137.0,2,75.0,3
109000,1019.0,107.0,62.0,2,45.0,3
119000,617.0,193.0,80.0,2,113.0,3
129500,355.0,365.0,90.0,2,275.0,3
415000,522.0,795.0,180.0,4,615.0,5
490000,641.0,765.0,190.0,4,575.0,5
1950000,177.0,11008.0,577.0,5,10431.0,6
1960000,129.0,15185.0,1120.0,25,14065.0,26
2100000,1061.0,1979.0,729.0,5,1250.0,6
2690000,1952.0,1378.0,1016.0,17,362.0,18
2690000,1952.0,1378.0,1016.0,17,362.0,18
585000,457.0,1281.0,270.0,4,1011.0,5
590000,176.0,3344.0,476.0,4,2868.0,5
595000,1149.0,518.0,283.0,6,235.0,7
599000,582.0,1030.0,463.0,9,567.0,10
160000,486.0,329.0,70.0,1,259.0,2
165000,1364.0,121.0,61.0,2,60.0,3
169900,1517.0,112.0,72.0,1,40.0,2
179000,635.0,282.0,137.0,3,145.0,4
179000,852.0,210.0,82.0,3,128.0,4
240000,1311.0,183.0,125.0,3,58.0,4
256860,2112.0,0.0,0.0,0,0.0,1
249000,615.0,405.0,242.0,4,163.0,5
249000,640.0,389.0,122.0,3,267.0,4
249000,600.0,415.0,150.0,3,265.0,4
1650000,586.0,2814.0,414.0,4,2400.0,5
1690000,525.0,3219.0,548.0,5,2671.0,6
1700000,858.0,1981.0,371.0,8,1610.0,9
1960000,2423.0,809.0,509.0,6,300.0,7
1975000,2088.0,946.0,263.0,5,683.0,6
699000,778.0,898.0,205.0,3,693.0,4
700000,952.0,735.0,200.0,4,535.0,5
720000,1962.0,367.0,212.0,6,155.0,7
720000,1048.0,687.0,307.0,4,380.0,2
725000,1252.0,579.0,182.0,5,397.0,6
1450000,3962.0,366.0,283.0,4,83.0,5
1475000,1739.0,848.0,518.0,6,330.0,7
1595000,585.0,2726.0,400.0,6,2326.0,7
1595000,585.0,2726.0,400.0,6,2326.0,7
1595000,585.0,2726.0,400.0,6,2326.0,7
524400,1373.0,382.0,176.0,4,206.0,5
265000,273.0,971.0,281.0,3,690.0,4
365000,853.0,428.0,150.0,2,278.0,3
365000,853.0,428.0,150.0,2,278.0,3
575000,2949.0,195.0,145.0,4,50.0,5
270000,310.0,870.0,118.0,3,752.0,4
280000,1497.0,187.0,147.0,4,40.0,5
295000,198.0,1491.0,188.0,2,1303.0,3
299000,243.0,1228.0,124.0,3,1104.0,4
299000,357.0,837.0,201.0,3,636.0,4
495000,346.0,1429.0,230.0,4,1199.0,5
549000,986.0,557.0,240.0,3,317.0,4
549000,620.0,885.0,330.0,6,555.0,7
549000,620.0,885.0,330.0,6,555.0,7
550000,523.0,1051.0,250.0,4,801.0,5
239000,461.0,519.0,130.0,2,389.0,3
257900,201.0,1282.0,263.0,4,1019.0,5
295000,383.0,771.0,116.0,2,655.0,3
295000,424.0,695.0,140.0,3,555.0,4
475000,1923.0,247.0,0.0,4,0.0,5
529000,64.0,8317.0,315.0,4,8002.0,5
785000,1487.0,528.0,266.0,4,262.0,5
850000,1868.0,455.0,161.0,3,294.0,4
900000,893.0,1008.0,285.0,9,723.0,10
455000,138.0,3293.0,274.0,3,3019.0,4
459000,925.0,496.0,285.0,4,211.0,5
460000,1438.0,320.0,160.0,1,160.0,2
460000,340.0,1352.0,377.0,5,975.0,6
460000,162.0,2840.0,240.0,4,2600.0,5
431000,2043.0,211.0,0.0,1,0.0,2
435000,466.0,933.0,185.0,4,748.0,5
550000,723.0,761.0,205.0,6,556.0,7
550000,286.0,1926.0,170.0,4,1756.0,5
319000,208.0,1537.0,136.0,2,1401.0,3
375000,380.0,987.0,267.0,4,720.0,5
385000,393.0,979.0,130.0,3,849.0,4
450000,1673.0,269.0,119.0,3,150.0,4
650000,114.0,5719.0,240.0,4,5479.0,5
675000,1227.0,550.0,300.0,6,250.0,7
1495000,941.0,1588.0,448.0,6,1140.0,7
154000,1077.0,143.0,93.0,2,50.0,3
219000,442.0,495.0,90.0,2,405.0,3
459000,927.0,495.0,130.0,3,365.0,4
715000,943.0,758.0,321.0,4,437.0,5
900000,2143.0,420.0,270.0,9,150.0,10
645000,1298.0,497.0,217.0,4,280.0,5
240000,384.0,625.0,65.0,3,560.0,4
799000,503.0,1590.0,341.0,5,1249.0,6
255000,680.0,375.0,180.0,3,195.0,4
599000,370.0,1620.0,286.0,5,1334.0,6
600000,2575.0,233.0,220.0,7,13.0,8
600000,1935.0,310.0,190.0,5,120.0,6
620000,176.0,3525.0,250.0,3,3275.0,4
395000,738.0,535.0,190.0,3,345.0,3
649000,278.0,2335.0,407.0,4,1928.0,6
425000,241.0,1765.0,420.0,4,1345.0,5
429000,310.0,1383.0,250.0,5,1133.0,6
935000,564.0,1657.0,295.0,5,1362.0,6
939000,236.0,3980.0,448.0,5,3532.0,6
945000,1481.0,638.0,468.0,5,170.0,6
945000,1481.0,638.0,468.0,5,170.0,6
461500,2285.0,202.0,0.0,0,0.0,1
445000,3007.0,148.0,0.0,0,0.0,1
425000,452.0,940.0,140.0,3,800.0,4
375000,424.0,885.0,235.0,6,650.0,7
388000,2812.0,138.0,0.0,3,0.0,4
385250,2833.0,136.0,0.0,2,0.0,3
398500,1828.0,218.0,0.0,0,0.0,1
379000,524.0,723.0,176.0,3,547.0,4
750000,1327.0,565.0,285.0,7,280.0,8
750000,2174.0,345.0,150.0,3,195.0,4
760000,1392.0,546.0,400.0,7,146.0,8
760000,1392.0,546.0,400.0,7,146.0,8
769000,194.0,3971.0,314.0,6,3657.0,7
675000,864.0,781.0,520.0,6,261.0,7
